title,author,star_rating,book_format,price
Web Scraping with Python: Collecting More Data from the Modern Web,"by  Ryan Mitchell  | Apr 17, 2018",4.6 out of 5 stars,Paperback,$36.78
Learn Scrapy from scratch: Web Scraping using Scrapy tutorial for beginners,"by NGEST International | Dec 19, 2019",,Kindle Edition,$9.99
Python Tutorial: Web Scraping with BeautifulSoup and Requests: Web Scraping in Python,"by Antroskimi Publications | Sep 28, 2020",,Kindle Edition,$0.00
"An Introduction to Text Mining: Research Design, Data Collection, and Analysis","by Gabe Ignatow and Rada F. Mihalcea | Oct 25, 2017",4.4 out of 5 stars,Paperback,$53.98
Python in easy steps: Covers Python 3.7,"Part of: In Easy Steps (53 Books) | by Mike McGrath | Aug 28, 2018",4.6 out of 5 stars,Paperback,$10.69
"Learning Web Design: A Beginner's Guide to HTML, CSS, JavaScript, and Web Graphics","by Jennifer Robbins | May 21, 2018",4.5 out of 5 stars,Paperback,$9.59
The Hitchhiker's Guide to Python: Best Practices for Development,"by  Kenneth Reitz  and Tanya Schlusser | Sep 18, 2016",4.3 out of 5 stars,Paperback,$12.99
"The Web Designer's Idea Book, Volume 3: Inspiration from Today's Best Web Design Trends, Themes and Styles","by  Patrick McNeil  | Apr 22, 2013",4.3 out of 5 stars,Paperback,$24.99
"Hands-On RESTful Python Web Services: Develop RESTful web services or APIs with modern Python 3.7, 2nd Edition","by Gaston C. Hillar | Dec 26, 2018",4.3 out of 5 stars,Paperback,$44.99
"Web Design - Start Here: A No-Nonsense, Jargon Free Guide to the Fundamentals of Web Design","by  Stefan Mischook  | Jul 21, 2015",4.8 out of 5 stars,Paperback,
Learn Web Development with Python: Get hands-on with Python Programming and Django web development,"by Fabrizio Romano, Gaston C. Hillar, et al. | Dec 21, 2018",4.1 out of 5 stars,Paperback,$49.99
Python: Beginner's Guide to Artificial Intelligence: Build applications to intelligently interact with the world around you using Python,"by  Denis Rothman  , Matthew Lamons, et al. | Dec 24, 2018",4.2 out of 5 stars,Paperback,$49.99
R Web Scraping Quick Start Guide: Techniques and tools to crawl and scrape data from websites,"by  Olgun Aydin  | Oct 31, 2018",2.4 out of 5 stars,Kindle,$14.59
"The Real Work of Data Science: Turning data into information, better decisions, and stronger organizations","by Ron S. Kenett and Thomas C. Redman | Jun 17, 2019",4.1 out of 5 stars,Paperback,$36.22
Automate the Boring Stuff with Python: Practical Programming for Total Beginners,"by  Al Sweigart  | Apr 14, 2015",4.7 out of 5 stars,Paperback,$17.99
Python for Everybody: Exploring Data in Python 3,"by Charles Severance, Aimee Andrion, et al. | Jul 10, 2016",4.6 out of 5 stars,Kindle,$0.99
"The Saga of Tanya the Evil, Vol. 2 (light novel): Plus Ultra (The Saga of Tanya the Evil (2))","Book 2 of 8: The Saga of Tanya the Evil | by  Carlo Zen  and Shinobu
Shinotsuki | Mar 27, 2018",4.8 out of 5 stars,Paperback,$7.99
"The Data Wrangling Workshop: Create your own actionable insights using data from multiple raw sources, 2nd Edition","by  Brian Lipp  , Shubhadeep Roychowdhury, et al. | Jul 29, 2020",,Paperback,$34.99
"Web Designer's Idea Book, Volume 4: Inspiration from the Best Web Design Trends, Themes and Styles","by  Patrick McNeil  | Oct 17, 2014",3.9 out of 5 stars,Paperback,$20.87
Developing Web Applications with Flask: Introduction to Developing Web Applications with Python .,"by  John Bach  | Sep 13, 2020",,Kindle,$0.00
Schnellere Datensauger mit Excel VBA: Die effizientesten Methoden zum Screen Scraping (Web Scraping) mittels Microsoft Excel unter Windows (Datensauger Excel Minis 2) (German Edition),"by  Petra Wolff  | Sep 14, 2018",,Kindle,$0.00
"Mining the Social Web: Data Mining Facebook, Twitter, LinkedIn, Google+, GitHub, and More","by  Matthew A. Russell  | Oct 20, 2013",4.0 out of 5 stars,Paperback,$42.92
Perl & LWP,"by  Sean M. Burke  | Jun 30, 2002",3.8 out of 5 stars,Paperback,$39.99
Hands-On Cryptography with Python: Leverage the power of Python to encrypt and decrypt data,"by Samuel Bowne | Jun 29, 2018",4.2 out of 5 stars,Paperback,$29.99
"An Introduction to Data Analysis in R: Hands-on Coding, Data Mining, Visualization and Statistics from Scratch (Use R!)","Part of: Use R! (70 Books) | by Alfonso Zamora Saiz, Carlos Quesada González,
et al. | Jul 28, 2020",,Paperback,$73.54
Flask Web Development: Developing Web Applications with Python,"by  Miguel Grinberg  | May 18, 2014",4.5 out of 5 stars,Paperback,
Python for Informatics: Exploring Information: Exploring Information,"by Charles Russell Severance | Apr 28, 2014",4.6 out of 5 stars,Kindle,$0.00
Pro Python 3: Features and Tools for Professional Development,"by  J. Burton Browning  and Marty Alchin | Mar 19, 2019",5.0 out of 5 stars,Paperback,$25.49
Flask Web Development: Developing Web Applications with Python,"by  Miguel Grinberg  | Apr 3, 2018",4.6 out of 5 stars,Paperback,$30.99
"Django Design Patterns and Best Practices: Industry-standard web development techniques and solutions using Python, 2nd Edition","by  Arun Ravindran  | May 31, 2018",4.7 out of 5 stars,Paperback,$44.99
Python Automation Cookbook: Explore the world of automation using Python recipes that will enhance your skills,"by  Jaime Buelta  | Sep 27, 2018",4.0 out of 5 stars,Kindle,$17.19
Datensauger Excel VBA: Eine Schritt-für-Schritt-Anleitung zum Bau eines Tools zum Screen Scraping (Web Scraping) mittels Microsoft Excel unter Windows (Datensauger Excel Minis 1) (German Edition),"by  Petra Wolff  | Jul 17, 2018",3.8 out of 5 stars,Kindle,$0.00
Head First Learn to Code: A Learner's Guide to Coding and Computational Thinking,"by  Eric Freeman  | Jan 16, 2018",4.6 out of 5 stars,Paperback,$26.59
"R for Data Science: Import, Tidy, Transform, Visualize, and Model Data","by  Hadley Wickham  and  Garrett Grolemund  | Jan 10, 2017",4.7 out of 5 stars,Paperback,$38.03
Web Robots: Boost your business with Robotic Process Automation and Web-Scraping on Web-marketing,"by  Arnaud Degardin  | Sep 20, 2018",,Kindle,$0.00
"Perl & LWP: Fetching Web Pages, Parsing HTML, Writing Spiders & More","by  Sean M. Burke  | Feb 9, 2009",5.0 out of 5 stars,Kindle,$16.71
Tor and the Dark Art of Anonymity: How to Be Invisible from NSA Spying,"by  Lance Henderson  | May 16, 2015",4.1 out of 5 stars,Paperback,$14.99
Python Django Web Development: The Ultimate Django web framework guide for Beginners,"by  Willian Jordon  | Aug 24, 2019",2.8 out of 5 stars,Kindle,$0.00
"A Practical Guide to Graphics Reporting: Information Graphics for Print, Web & Broadcast","by Jennifer George-Palilonis | Oct 4, 2016",,Kindle,$12.78
Instant PHP Web Scraping,"by Jacob Ward | Jul 26, 2013",3.2 out of 5 stars,Kindle,$9.99
Cloud Native Architectures: Design high-availability and cost-effective applications for the cloud,"by  Tom Laszewski  ,  Kamal Arora  , et al. | Aug 31, 2018",4.0 out of 5 stars,Paperback,$44.99
Python Programming: Getting started FAST With Learning of Python Programming Basics in No Time (Programming is Easy Book 3),"by Matthew Gimson | Nov 26, 2015",3.8 out of 5 stars,Kindle,$0.00
Learning Angular - Second Edition: A no-nonsense guide to building real-world apps with Angular 5,"by  Christoffer Noring  and  Pablo Deeleman  | Dec 8, 2017",2.1 out of 5 stars,Paperback,$44.99
Scraping Javascript-dependent website with Puppeteer: Node.js asynchronous runs to scrape JS-stuffed websites,"by Igor Savinkin | Jul 22, 2020",,Kindle Edition,$0.00
Data Science in R: A Case Studies Approach to Computational Reasoning and Problem Solving (Chapman & Hall/CRC The R Series),"Part of: Chapman & Hall/CRC The R Series (52 Books) | by Deborah Nolan and
Duncan Temple Lang | Apr 21, 2015",4.3 out of 5 stars,eTextbook,$15.98
Web Scraping for SEO with Python,"by Enrique Vicente | Nov 9, 2018",,Kindle Edition,$0.99
Web Scraping With Python,"by Chris Sheridan | Mar 13, 2017",3.6 out of 5 stars,Kindle,$3.99
Web Robots: Boost your business with Robotic Process Automation and Web-Scraping on Web-marketing,"by  Arnaud Degardin  | Sep 21, 2018",,Paperback,$5.99
"Django Cookbook: Web Development with Django - Step by Step Guide, Second Edition","by Beau Curtin | Jul 13, 2016",1.0 out of 5 stars,Kindle,$0.00
"Webbots, Spiders, and Screen Scrapers, 2nd Edition: A Guide to Developing Internet Agents with PHP/CURL","by  Michael Schrenk  | Mar 1, 2012",4.0 out of 5 stars,Kindle,$23.99
Getting Started with Beautiful Soup,"by  Vineeth G. Nair  | Jan 24, 2014",3.5 out of 5 stars,Kindle,$12.64
"Data Visualization with Python and JavaScript: Scrape, Clean, Explore & Transform Your Data","by Kyran Dale | Jun 30, 2016",3.9 out of 5 stars,Kindle,$33.89
Charlotte's Web,"by  E. B White  and  Garth Williams  | May 9, 2006",4.8 out of 5 stars,Hardcover,$6.40
"Flask Framework Cookbook: Over 80 proven recipes and techniques for Python web development with Flask, 2nd Edition","by  Shalabh Aggarwal  | Jul 17, 2019",3.7 out of 5 stars,Paperback,$29.99
Flask Web Development from Scratch: Introduction to Developing Web Applications with Python,"by  Takatomo Honda  | May 20, 2019",4.2 out of 5 stars,Kindle,$0.00
Web Scraping With Python,"by Chris Sheridan | Mar 13, 2017",,Kindle Edition,$4.24
Twitter API: Up and Running: Learn How to Build Applications with the Twitter API,"by  Kevin Makice  | Mar 17, 2009",2.8 out of 5 stars,Kindle,$27.99
"Python Social Media Analytics: Analyze and visualize data from Twitter, YouTube, GitHub, and more","by Siddhartha Chatterjee and Michal Krystyanczuk | Jul 28, 2017",4.0 out of 5 stars,Paperback,$49.99
The Data Storytelling Workbook,"by  Anna Feigenbaum  and Aria Alamalhodaei | Mar 13, 2020",,Paperback,$42.95
Django for APIs: Build web APIs with Python and Django,"by  William S Vincent  | Aug 10, 2020",4.3 out of 5 stars,Kindle,$39.00
Architect's Guide to Web Scraping with PHP (2010),"by Tabini Marco | Mar 23, 2019",,Kindle Edition,$8.99
"PYTHON: 2 BOOKS in 1: Learn the art of computer programming with the most complete crash course for data science. Master as a pro machine learning, applied artificial intelligence & Arduino in 7 days","by  Jason Test  | Sep 27, 2020",4.0 out of 5 stars,Kindle,$0.00
Clean Code in Python: Refactor your legacy code base,"by  Mariano Anaya  | Aug 29, 2018",4.6 out of 5 stars,Paperback,$44.99
Mining Social Media: Finding Stories in Internet Data,"by  Lam Thuy Vo  | Nov 25, 2019",4.4 out of 5 stars,Paperback,$23.36
Python Web Programming,"by  Steve Holden  | Jan 18, 2002",3.4 out of 5 stars,Paperback,$49.99
The London Ritz Book of Afternoon Tea,"by  Helen Simpson  | Oct 25, 1986",4.5 out of 5 stars,Hardcover,$16.95
Spidering Hacks: 100 Industrial-Strength Tips & Tools,"by Morbus Iff and  Tara Calishain  | Nov 4, 2015",3.6 out of 5 stars,Kindle,$12.76
Web Robots: Révolutionne ton business avec la Robotic Process Automation et le Web-Scraping appliqués au Web-marketing (French Edition),"by  Arnaud Degardin  | Sep 21, 2018",,Kindle,$0.00
"PYTHON PROGRAMMING: 3 BOOKS IN 1 Learn machine learning, data science and analysis with a crash course for beginners. Included coding exercises for artificial intelligence, Numpy, Pandas and Ipython.","by  Jason Test  | Aug 2, 2020",5.0 out of 5 stars,Kindle,$0.00
Django 2 by Example: Build powerful and reliable Python web applications from scratch,"by Antonio Mele | May 31, 2018",4.3 out of 5 stars,Paperback,$49.99
Datensauger-Konvertierung von HTML zu Excel: VBA-Lösungen zur Web-Datengewinnung und Konvertierung in weiterverarbeitbares Excel-Format unter Windows (Datensauger Excel Minis 3) (German Edition),"by  Petra Wolff  | Oct 11, 2018",5.0 out of 5 stars,Kindle,$0.00
"MACHINE LEARNING WITH PYTHON: Learn the art of Programming with a complete crash course for beginners. Strategies to Master Data Science, Numpy, Keras, Pandas and Arduino like a Pro in 7 days","by  Jason Test  | Aug 18, 2020",4.0 out of 5 stars,Kindle,$0.00
"PYTHON FOR DATA SCIENCE: Guide to computer programming and web coding. Learn machine learning, artificial intelligence, NumPy and Pandas packages for data analysis. Step-by-step exercises included.","by  Jason Test  | Jun 26, 2020",5.0 out of 5 stars,Kindle,$0.00
"CompTIA Security+ All-in-One Exam Guide, Fourth Edition (Exam SY0-401)","by Wm. Arthur Conklin, Greg White, et al. | Dec 10, 2014",4.4 out of 5 stars,Hardcover,$40.35
Social Media Mining: An Introduction,"by  Reza Zafarani  ,  Mohammad Ali Abbasi  , et al. | Apr 28, 2014",4.0 out of 5 stars,Hardcover,$48.49
"The Lord Of Fantasy Sports: How I Used Data, Statistics, Web Scraping, and Ingenuity to Beat You in One Day Fantasy Sports","by  Jeff Kulesza  | Dec 6, 2015",5.0 out of 5 stars,Kindle,$0.00
Programming with Python: Web scraping project,"by Enrique Vicente Garcia | Jun 26, 2020",,Kindle Edition,$0.99
"Django 2 Web Development Cookbook: 100 practical recipes on building scalable Python web apps with Django 2, 3rd Edition","by  Jake Kronika  and  Aidas Bendoraitis  | Oct 31, 2018",3.8 out of 5 stars,Paperback,$44.99
Web Robots: Révolutionne ton business avec la Robotic Process Automation et le Web-Scraping appliqués au Web-marketing (French Edition),"by  Arnaud Degardin  | Sep 22, 2018",,Paperback,$6.87
L'era dei Web-Bots: Revoluziona il tuo business con la Robotic Process Automation e Web-Scraping applicati al Web-marketing (Italian Edition),"by  Arnaud Degardin  | Sep 20, 2018",,Paperback,$6.87
"Practical Docker with Python: Build, Release and Distribute your Python App with Docker","by  Sathyajith Bhat  | Jul 27, 2018",3.0 out of 5 stars,Paperback,$16.69
Appreciation of structured and unstructured content to aid decision making - from web scraping to ontologies and data dictionaries in healthcare,"by Surrey Community | Oct 11, 2020",,Kindle Edition,$0.00
Flask Programming: The Ultimate Beginner's Guide to Learn Flack Step by Step,"by Max Beerbohm and Moaml Mohmmed | Nov 2, 2019",1.0 out of 5 stars,Paperback,
Flask Programming: The Ultimate Beginner's Guide to Learn Flask Step by Step,"by Kathleen Peterson and  mEm lnc  | May 10, 2020",1.0 out of 5 stars,Paperback,
Digital Social Research,"by Giuseppe A. Veltri | Oct 25, 2019",,eTextbook,$15.99
how to create a database in python using sql lite 3,"by stuart hall | Apr 4, 2015",1.9 out of 5 stars,Kindle Edition,$4.99
Programming with Python for Social Scientists,"by Phillip Brooker | Dec 24, 2019",,Paperback,$32.05
Data Wrangling with Python: Creating actionable data from raw sources,"by  Dr. Tirthajyoti Sarkar  and  Shubhadeep Roychowdhury  | Feb 28, 2019",5.0 out of 5 stars,Kindle,$25.99
Social Media Data Mining and Analytics,"by Gabor Szabo, Gungor Polatkan, et al. | Sep 19, 2018",,Kindle,$26.49
"Python Programming: The Easiest Python Crash Course to Go Deep Through the Main Applications as Web Development, Data Analysis, and Data Science Including Machine Learning (Computer Science)","by Alan Grid | Oct 6, 2020",,Paperback,$21.00
Error 404: Sleep Not Found,"by Style Of Books | Aug 25, 2019",,Paperback,$6.99
Python in easy steps: Makes programming fun,"by Mike McGrath | Feb 15, 2015",4.4 out of 5 stars,Kindle,$9.99
Phparchitect's Guide to Web Scraping,"by Matthew Turland | Sep 1, 2010",3.0 out of 5 stars,Paperback,$29.00
Login-Datensauger mit Excel VBA: Datengewinnung aus geschützten Bereichen mittels Microsoft Excel unter Windows (Datensauger Excel Minis 5) (German Edition),"by  Petra Wolff  | Dec 10, 2018",5.0 out of 5 stars,Kindle,$0.00
Datensauger-Listenlösungen mit Excel VBA: Listen von Daten-URLs automatisch erzeugen und nutzen mittels Microsoft Excel unter Windows (Datensauger Excel Minis 4) (German Edition),"by  Petra Wolff  | Nov 6, 2018",5.0 out of 5 stars,Kindle,$0.00
Python web scraping 2 / e (Korean Edition),"by Katherine Jamal and Richard Lawson | Dec 31, 2018",,Paperback,$60.04
Web Scraping com Python: Coletando mais dados da web moderna (Portuguese Edition),"by  Ryan Mitchell  | Apr 1, 2019",4.8 out of 5 stars,Kindle,$9.99
Characterizing crowd participation and productivity of foldit through web scraping,"by Jonathan A. Yee | Jan 1, 2016",,Paperback,$864.56
Python web scraping (Korean Edition),"by Richard Lawson and Kim Young-Ha | Apr 27, 2017",,Paperback,$50.15
Screen Scraping mit Excel VBA: Automatische Datengewinnung aus dem Web (German Edition),"by  Petra Wolff  | May 31, 2018",5.0 out of 5 stars,Paperback,$42.64
"Mastering Concurrency in Python: Create faster programs using concurrency, asynchronous, multithreading, and parallel programming","by  Quan Nguyen  | Nov 27, 2018",1.0 out of 5 stars,Kindle,$22.39
Web Scraping for Data Science with Python,"by Seppe vanden Broucke PhD and Bart Baesens PhD | Nov 30, 2017",,Paperback,
Build a website with Django 2,"by  Nigel George  | Apr 15, 2019",4.1 out of 5 stars,Paperback,$29.99
Computer Science and Technologies for Kids 2 Web Scraping (Japanese Edition),"by  BabyInvestment  | Nov 29, 2018",,Kindle,$0.00
L'era dei Web-Bots: Rivoluziona il tuo business con la Robotic Process Automation e Web-Scraping applicati al Web-marketing (Italian Edition),"by  Arnaud Degardin  | Sep 19, 2018",,Kindle,$0.00
"Financial Freedom: Online Income, Passive Income, Millionaire Success Habits, Monetizing Your Blog","by Alexander S. Presley | Nov 4, 2017",5.0 out of 5 stars,Kindle,$0.00
Scraping the Dynamic Web with PhantomJS: Using jQuery and Node,"by James Morrin | Apr 22, 2012",,Paperback,
"PYTHON CRASH COURSE: Beginner guide to Computer Programming, Web Coding and Data Mining. Learn Machine Learning, Artificial Intelligence, NumPy and Pandas packages with exercises for data analysis.","by  Jason Test  | Jul 26, 2020",,Kindle,$0.00
Python Web Scraping: Interview QA,"by  Linux Kuriosity  | Jun 3, 2019",,Kindle,$0.00
Website Scraping and Tools for Beginners: V2,"by  Leif Ízland  | Apr 11, 2013",1.0 out of 5 stars,Kindle,$0.00
XML processing and website scraping in Java,"by Gábor László Hajba | Nov 15, 2017",,Kindle,$5.99
